(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0008109360518999073, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(22)), {C=0.0009267840593141799, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(90)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(127)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(205)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(234)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(237)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(245)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(295)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(304)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(322)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(365)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(377)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(394)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(398)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(406)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(407)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(411)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(413)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(422)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(425)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(437)), {C=0.0009267840593141799, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(469)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(484)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(485)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(518)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(519)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0009267840593141799, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(537)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(542)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(552)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(572)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(576)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(581)), {C=0.0008109360518999073, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(583)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(587)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(597)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(614)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(617)), {C=0.0008109360518999073, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(627)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(633)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(634)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(647)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(653)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(671)), {C=0.0005792400370713624, S=0.00048633401420095323}
