(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(7)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(9)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(11)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(20)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(21)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(22)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(23)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(25)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(27)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(28)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(29)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(35)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(37)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(39)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(43)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(44)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(51)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(53)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(56)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(57)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(58)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(60)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(61)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(62)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(63)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(68)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(71)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(74)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(75)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(77)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(79)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(83)), {C=0.0006585879873551106, S=0.00048633401420095323}
