(age_group(MiddleAdults))(house_owner(N)) --> (buy(3)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(4)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(5)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(7)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(9)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(10)), {C=0.0014660069635330768, S=0.0007781344227215252}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(11)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(12)), {C=0.0016492578339747114, S=0.0008754012255617158}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(13)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(15)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(18)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(21)), {C=0.0014660069635330768, S=0.0007781344227215252}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(22)), {C=0.0016492578339747114, S=0.0008754012255617158}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(24)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(25)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(26)), {C=0.0014660069635330768, S=0.0007781344227215252}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(27)), {C=0.0016492578339747114, S=0.0008754012255617158}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(28)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(30)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(31)), {C=0.0016492578339747114, S=0.0008754012255617158}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(34)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(35)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(36)), {C=0.0016492578339747114, S=0.0008754012255617158}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(39)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(41)), {C=0.0016492578339747114, S=0.0008754012255617158}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(42)), {C=0.001832508704416346, S=0.0009726680284019065}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(44)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(46)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(48)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(49)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(50)), {C=0.002015759574857981, S=0.001069934831242097}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(52)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(55)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(58)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(59)), {C=0.001832508704416346, S=0.0009726680284019065}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(60)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(61)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(64)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(65)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(66)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(67)), {C=0.0014660069635330768, S=0.0007781344227215252}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(69)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(70)), {C=0.001832508704416346, S=0.0009726680284019065}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(74)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(75)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(76)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(77)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(78)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(81)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(90)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(91)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(92)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(93)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(95)), {C=0.002015759574857981, S=0.001069934831242097}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(96)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(100)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(104)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(107)), {C=0.001832508704416346, S=0.0009726680284019065}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(108)), {C=0.0021990104452996153, S=0.0011672016340822876}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(109)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(111)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(113)), {C=0.0014660069635330768, S=0.0007781344227215252}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(115)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(116)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(118)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(120)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(121)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(123)), {C=0.001282756093091442, S=0.0006808676198813345}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(126)), {C=0.0016492578339747114, S=0.0008754012255617158}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(127)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(128)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(129)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(131)), {C=0.000916254352208173, S=0.00048633401420095323}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(132)), {C=0.0010995052226498076, S=0.0005836008170411438}
(age_group(MiddleAdults))(house_owner(N)) --> (buy(133)), {C=0.0014660069635330768, S=0.0007781344227215252}
