(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(17)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(19)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(42)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(54)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(86)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(90)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(96)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(108)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(136)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(143)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(164)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(168)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(172)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(176)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(177)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(186)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(206)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(217)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(223)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(226)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(228)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(231)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(252)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(262)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(264)), {C=0.0008255933952528381, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(265)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(271)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(297)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(298)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(312)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(323)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(326)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(328)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(331)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(341)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(349)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(362)), {C=0.0008255933952528381, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(373)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(376)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(377)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(384)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(394)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(405)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(406)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(407)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(412)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(414)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(415)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(417)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(421)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(426)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(438)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(443)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(450)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(472)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(488)), {C=0.0005159958720330238, S=0.00048633401420095323}
