(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(2)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(3)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(12)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(15)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(18)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(20)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(21)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(34)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(41)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(44)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(47)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(52)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(53)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(55)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(58)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(60)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(62)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(66)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(67)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(68)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(78)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(79)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(82)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(85)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(107)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(111)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(112)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(115)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(116)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(118)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(120)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(122)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(125)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(126)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(129)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(131)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(132)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(133)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(137)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(138)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(139)), {C=0.0005110384300899427, S=0.00048633401420095323}
