(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(11)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(62)), {C=0.0007383187427486551, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(115)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(132)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(166)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(177)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(188)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(192)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(218)), {C=0.0007383187427486551, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(241)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(252)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(255)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(277)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(318)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(455)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(465)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(480)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(635)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(788)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(791)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(812)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(814)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(822)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(849)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(883)), {C=0.0008437928488556059, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(892)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(909)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(925)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(934)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(941)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(952)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(992)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(996)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1007)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1024)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1028)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1067)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1148)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1244)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1311)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1336)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1346)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1377)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1392)), {C=0.0007383187427486551, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1424)), {C=0.0006328446366417044, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1448)), {C=0.0005273705305347537, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1454)), {C=0.0007383187427486551, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(High School Degree)) --> (buy(1467)), {C=0.0007383187427486551, S=0.0006808676198813345}
