(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(7)), {C=0.0008448621818565847, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(37)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(101)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(118)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(122)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(168)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(172)), {C=0.0007392544091245116, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(240)), {C=0.0007392544091245116, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(244)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(390)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(396)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(422)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(437)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(483)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(546)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(549)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(566)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(576)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(617)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(634)), {C=0.0008448621818565847, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(725)), {C=0.0007392544091245116, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(749)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(788)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(797)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(827)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(881)), {C=0.0008448621818565847, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(898)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(899)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(950)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(991)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1014)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1055)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1061)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1067)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1102)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1209)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1212)), {C=0.0006336466363924385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1254)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1262)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1308)), {C=0.0007392544091245116, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1320)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1322)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1438)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1441)), {C=0.0005280388636603654, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1514)), {C=0.0005280388636603654, S=0.00048633401420095323}
