(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(59)), {C=0.0005217572785140354, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(86)), {C=0.0005217572785140354, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(96)), {C=0.0005217572785140354, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(179)), {C=0.0006261087342168423, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(221)), {C=0.0005217572785140354, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(261)), {C=0.0006261087342168423, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(269)), {C=0.0006261087342168423, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(270)), {C=0.0005217572785140354, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0006261087342168423, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(292)), {C=0.0005217572785140354, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(322)), {C=0.0006261087342168423, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(338)), {C=0.0005217572785140354, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(340)), {C=0.0006261087342168423, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(349)), {C=0.0005217572785140354, S=0.00048633401420095323}
