(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(78)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(88)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(147)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(164)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(179)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(211)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(216)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(326)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(328)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(339)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(369)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(370)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(402)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(411)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(428)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(432)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(442)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(446)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(455)), {C=0.0008328995314940136, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(463)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(473)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(514)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(584)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(593)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(594)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(599)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(609)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(614)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(662)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(679)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(694)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(723)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(733)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(746)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(784)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(789)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(826)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(836)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(863)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(887)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(896)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(898)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(905)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(908)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(933)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(938)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(939)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(948)), {C=0.0007287870900572618, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(956)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(979)), {C=0.0007287870900572618, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(988)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1000)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1002)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1025)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1039)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1041)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1105)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1213)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1230)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1245)), {C=0.0008328995314940136, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1275)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1298)), {C=0.0008328995314940136, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1299)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1300)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1362)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1371)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1411)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1441)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1470)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1471)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1472)), {C=0.0006246746486205101, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1475)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1496)), {C=0.0007287870900572618, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1504)), {C=0.0005205622071837585, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1538)), {C=0.0008328995314940136, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1553)), {C=0.0005205622071837585, S=0.00048633401420095323}
