(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(298)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(631)), {C=0.0006483682731791658, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(688)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(298)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(631)), {C=0.0006483682731791658, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(688)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(298)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0005403068943159715, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(631)), {C=0.0006483682731791658, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(N)) --> (buy(688)), {C=0.0005403068943159715, S=0.00048633401420095323}
