(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(11)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(27)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(35)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(62)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(130)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(188)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(204)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(241)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(310)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(370)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(396)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(437)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(451)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(465)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(517)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(547)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(575)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(614)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(647)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(685)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(724)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(731)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(788)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(903)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(912)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(921)), {C=0.0008306510227390719, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(925)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(960)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(996)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1003)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1018)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1047)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1061)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1127)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1143)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1184)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1247)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1262)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1311)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1334)), {C=0.0005191568892119199, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1336)), {C=0.0006229882670543038, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1339)), {C=0.0005191568892119199, S=0.00048633401420095323}
