(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(27)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(519)), {C=0.0009300883583940473, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(535)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(572)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(805)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1136)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1522)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(27)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(519)), {C=0.0009300883583940473, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(535)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(572)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(805)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1136)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1522)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(27)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(519)), {C=0.0009300883583940473, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(535)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(572)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(805)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1136)), {C=0.0007750736319950396, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(N)) --> (buy(1522)), {C=0.0007750736319950396, S=0.00048633401420095323}
