(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(43)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(66)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(89)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(152)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(153)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(179)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(195)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(252)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(302)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(331)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(343)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(349)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(379)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(383)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(385)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(419)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(433)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(466)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(503)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(517)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(551)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(572)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(626)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(644)), {C=0.0010139049826187717, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(725)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(812)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(849)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(905)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(909)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(918)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(935)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(976)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1002)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1013)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1022)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1024)), {C=0.0010139049826187717, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1036)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1044)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1046)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1067)), {C=0.000724217844727694, S=0.00048633401420095323}
