(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(126)), {C=0.0006309148264984227, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(593)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(681)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(733)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(736)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(805)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(996)), {C=0.0006309148264984227, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1084)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1136)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1236)), {C=0.0005257623554153522, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1406)), {C=0.0006309148264984227, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1417)), {C=0.0006309148264984227, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1432)), {C=0.0005257623554153522, S=0.00048633401420095323}
