(country(USA))(house_owner(Y))(buy(609)) --> (buy(46)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(120)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(285)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(426)), {C=0.0007696536558548652, S=0.0006808676198813345}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(463)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(482)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(568)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(599)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(608)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(943)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(969)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(996)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(1046)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(1119)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(1197)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(609)) --> (buy(1467)), {C=0.0005497526113249038, S=0.00048633401420095323}
