(country(USA))(house_owner(Y))(buy(855)) --> (buy(136)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(173)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(383)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(410)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(420)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(462)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(464)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(466)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(529)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(537)), {C=0.0007696536558548652, S=0.0006808676198813345}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(788)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(838)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(896)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(940)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(1190)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(1261)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(1392)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(855)) --> (buy(1491)), {C=0.0005497526113249038, S=0.00048633401420095323}
