(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(6)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(7)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(8)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(11)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(15)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(17)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(19)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(20)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(24)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(28)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(31)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(40)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(43)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(44)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(46)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0008632782993417504, S=0.0007781344227215252}
