(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(32)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(120)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(130)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(139)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(234)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0008208495793145907, S=0.0007781344227215252}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(445)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(565)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(584)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(632)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(644)), {C=0.0005130309870716191, S=0.00048633401420095323}
