(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(27)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(35)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(57)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(127)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(152)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(153)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(154)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(193)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(195)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(254)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(264)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(293)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(297)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(322)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(324)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(333)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(336)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(339)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0005606638259699485, S=0.00048633401420095323}
