(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.000893355667225014, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(44)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(51)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(62)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(98)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(118)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(122)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(131)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(168)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(192)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(213)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(214)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(251)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(259)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(263)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(268)), {C=0.000893355667225014, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(272)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(287)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(312)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(360)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(361)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(375)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(412)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(421)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(422)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(437)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(444)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0010050251256281408, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(461)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(487)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(492)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(493)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(505)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(519)), {C=0.000893355667225014, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(546)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(584)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(610)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(623)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(629)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(650)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(651)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(751)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(765)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(787)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(826)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(830)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(845)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(887)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(896)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(901)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(910)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(938)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(945)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(946)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(963)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(985)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(991)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1002)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1006)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1018)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1029)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1045)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1060)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1064)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1067)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1083)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1123)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1126)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1136)), {C=0.0005583472920156337, S=0.00048633401420095323}
