(education(Partial College))(house_owner(N)) --> (buy(44)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(60)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(181)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(194)), {C=0.0019189765458422175, S=0.0008754012255617158}
(education(Partial College))(house_owner(N)) --> (buy(228)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(274)), {C=0.0014925373134328356, S=0.0006808676198813345}
(education(Partial College))(house_owner(N)) --> (buy(292)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(302)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(331)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(366)), {C=0.0014925373134328356, S=0.0006808676198813345}
(education(Partial College))(house_owner(N)) --> (buy(379)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(384)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(414)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(443)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(445)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(466)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(477)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(491)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(503)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(506)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(507)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(528)), {C=0.0010660980810234541, S=0.00048633401420095323}
