(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(107)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(270)), {C=0.0007465870307167235, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(271)), {C=0.0007465870307167235, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(292)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(358)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(434)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(475)), {C=0.0006399317406143345, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(688)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(696)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(808)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(830)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1044)), {C=0.0006399317406143345, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1050)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1092)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1124)), {C=0.0005332764505119454, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1270)), {C=0.0005332764505119454, S=0.00048633401420095323}
