(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(21)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(27)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(30)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(36)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(42)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(50)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(61)), {C=0.0008329862557267805, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(66)), {C=0.0008329862557267805, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(70)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(89)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(95)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(96)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(98)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(113)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(118)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(127)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(131)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(139)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(169)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(170)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(188)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(192)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(194)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(203)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(213)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(226)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(237)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(244)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(255)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(268)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(270)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(274)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(280)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(297)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(303)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(312)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(315)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(317)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(318)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(321)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(326)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(338)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(349)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(350)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(359)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(360)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(361)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(375)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(382)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(387)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(398)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(399)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(411)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(412)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(416)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(417)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(418)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(419)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(421)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(422)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(437)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(444)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(445)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(446)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(447)), {C=0.0010412328196584756, S=0.0009726680284019065}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(456)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(458)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(461)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(481)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(482)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(489)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(498)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(504)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(507)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(518)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(519)), {C=0.0008329862557267805, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(533)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(535)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(537)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(538)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(541)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(546)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(549)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(553)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(557)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(572)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(603)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(610)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(611)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(614)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(621)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(627)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(629)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(634)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(635)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(642)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(644)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(648)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(656)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(675)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(676)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(686)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(689)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(725)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(751)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(754)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(755)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(770)), {C=0.0005206164098292378, S=0.00048633401420095323}
