(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(292)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(476)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(292)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(476)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(292)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(476)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.0005449591280653951, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0005449591280653951, S=0.00048633401420095323}
