(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(13)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(67)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(108)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(133)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(260)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(299)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(347)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(368)), {C=0.0008565310492505354, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(384)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(390)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(423)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(425)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(427)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(436)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(443)), {C=0.0008565310492505354, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(456)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(458)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(463)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(472)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(483)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(488)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(549)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(564)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(576)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(587)), {C=0.0007494646680942183, S=0.0006808676198813345}
