(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(270)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(322)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(349)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(765)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(892)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(902)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(972)), {C=0.000736299568738824, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1050)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1092)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1333)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1419)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1465)), {C=0.0006311139160618491, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1468)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(270)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(322)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(349)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(765)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(892)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(902)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(972)), {C=0.000736299568738824, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1050)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1092)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1333)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1419)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1465)), {C=0.0006311139160618491, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1468)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(270)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(322)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(349)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(765)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(892)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(902)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(972)), {C=0.000736299568738824, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1050)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1092)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1333)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1419)), {C=0.0005259282633848743, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1465)), {C=0.0006311139160618491, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(1468)), {C=0.0005259282633848743, S=0.00048633401420095323}
