(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(53)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(54)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(348)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(531)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(550)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(748)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(784)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(958)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(965)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(980)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(989)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1016)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1079)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1263)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1276)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1290)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1417)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0006027122049221497, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1504)), {C=0.0005022601707684581, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1536)), {C=0.0005022601707684581, S=0.00048633401420095323}
