(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(40)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(43)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(45)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(85)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(106)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(119)), {C=0.0012718600953895074, S=0.0007781344227215252}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(161)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(191)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(214)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(264)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(357)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(370)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(391)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(409)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(463)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(543)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(546)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(569)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(599)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(614)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(640)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(653)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(663)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(704)), {C=0.0011128775834658188, S=0.0006808676198813345}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(706)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(717)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(735)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(752)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(776)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(783)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(821)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(823)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(835)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(842)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(869)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(900)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(903)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(939)), {C=0.0012718600953895074, S=0.0007781344227215252}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(946)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(949)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1000)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1011)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1057)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1080)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1111)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1117)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1122)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1142)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1161)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1212)), {C=0.0011128775834658188, S=0.0006808676198813345}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1255)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1340)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1354)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1373)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1387)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1425)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1430)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1436)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1440)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1455)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1458)), {C=0.0011128775834658188, S=0.0006808676198813345}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1467)), {C=0.0011128775834658188, S=0.0006808676198813345}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1473)), {C=0.0009538950715421304, S=0.0005836008170411438}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1493)), {C=0.000794912559618442, S=0.00048633401420095323}
(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1496)), {C=0.000794912559618442, S=0.00048633401420095323}
