(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(368)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(384)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(443)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(642)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(785)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(954)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1084)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1349)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(368)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(384)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(443)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(642)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(785)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(954)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1084)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1349)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(368)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(384)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(443)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(642)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(785)), {C=0.0006079643327591448, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(954)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1084)), {C=0.000506636943965954, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1349)), {C=0.000506636943965954, S=0.00048633401420095323}
