(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(6)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0011917530687641522, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(23)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(25)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(28)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(30)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(37)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(43)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(46)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(50)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(51)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(69)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(70)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(78)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(79)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(84)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(86)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(90)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(93)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(95)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(97)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(99)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(100)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(102)), {C=0.0005958765343820761, S=0.00048633401420095323}
