(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(18)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0007001166861143523, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(63)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0007001166861143523, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(794)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(910)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1122)), {C=0.0007001166861143523, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1260)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1280)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1423)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.0005834305717619603, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1445)), {C=0.0005834305717619603, S=0.00048633401420095323}
