(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(21)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(54)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(61)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(82)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(157)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0009267840593141797, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(200)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(211)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(286)), {C=0.0010591817820733483, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(371)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0010591817820733483, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(472)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(544)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0006619886137958428, S=0.00048633401420095323}
