(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(221)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(486)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(518)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(549)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(570)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(760)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1036)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1037)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1046)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1086)), {C=0.0007883770694898073, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0006757517738484063, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0005631264782070053, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(M)) --> (buy(1389)), {C=0.0005631264782070053, S=0.00048633401420095323}
