(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(263)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(282)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1537)), {C=0.0006579668823335892, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(263)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(282)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1537)), {C=0.0006579668823335892, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(263)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(282)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.000548305735277991, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y)) --> (buy(1537)), {C=0.0006579668823335892, S=0.0005836008170411438}
