(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0008008237043816496, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006864203180414139, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0006864203180414139, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0009152270907218854, S=0.0007781344227215252}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0008008237043816496, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006864203180414139, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0006864203180414139, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0009152270907218854, S=0.0007781344227215252}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0008008237043816496, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006864203180414139, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0006864203180414139, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0009152270907218854, S=0.0007781344227215252}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0005720169317011784, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005720169317011784, S=0.00048633401420095323}
