(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(18)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(41)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(60)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(63)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(66)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(115)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(118)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(180)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(201)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(307)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(318)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(331)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(337)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(340)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(355)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(407)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(423)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(436)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(443)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(444)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(491)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(501)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(502)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(546)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(612)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(683)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(710)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(794)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(827)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(868)), {C=0.0007490636704119849, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(905)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(910)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(915)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(923)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(934)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(935)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(938)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1022)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1029)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1046)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1122)), {C=0.0007490636704119849, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1126)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1127)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1164)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1190)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1211)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1260)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1280)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1316)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1358)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1360)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1387)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1421)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1423)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1438)), {C=0.0006420545746388443, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1441)), {C=0.0005350454788657037, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College))(marital_status(M)) --> (buy(1445)), {C=0.0005350454788657037, S=0.00048633401420095323}
