(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(5)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(7)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(8)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(15)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(17)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(18)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(25)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(29)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(34)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(42)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(45)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(63)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(64)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(66)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(73)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(75)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(82)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(86)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(90)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(96)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(108)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(110)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(119)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(120)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(128)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(131)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(133)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(150)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(152)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(158)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(167)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(168)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(174)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(179)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(185)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(186)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(194)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(195)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(202)), {C=0.0006178560395427864, S=0.0005836008170411438}
