(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(37)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(43)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(47)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(51)), {C=0.0006992308460693237, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(97)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(116)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(187)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(191)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(230)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(303)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(343)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(574)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(583)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(611)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(659)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(666)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(718)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(736)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(739)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(819)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(820)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(830)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(853)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(858)), {C=0.0006992308460693237, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(864)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(963)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(975)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(979)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(987)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1015)), {C=0.0006992308460693237, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1023)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1069)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1106)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1149)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1166)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1169)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1170)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1173)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1196)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1198)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1218)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1219)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1251)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1274)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1276)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1281)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1300)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1319)), {C=0.0004994506043352313, S=0.00048633401420095323}
