(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(3)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(26)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(54)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(86)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(94)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(137)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(142)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(143)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(159)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(173)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(176)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(211)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(246)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(284)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(298)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(323)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(326)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(345)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(369)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(371)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(384)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(388)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(390)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(400)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(409)), {C=0.0006128953174797745, S=0.00048633401420095323}
