(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(36)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(181)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(256)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(274)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(313)), {C=0.0007499062617172853, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(344)), {C=0.0007499062617172853, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(382)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(421)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(422)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(447)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(454)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(482)), {C=0.0008748906386701661, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(511)), {C=0.0007499062617172853, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(542)), {C=0.0007499062617172853, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(554)), {C=0.0007499062617172853, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(592)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(873)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(948)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1105)), {C=0.0007499062617172853, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1120)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1207)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1222)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1243)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1271)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1347)), {C=0.0008748906386701661, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1384)), {C=0.0007499062617172853, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1397)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1403)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1433)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1447)), {C=0.0006249218847644044, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1500)), {C=0.0007499062617172853, S=0.0005836008170411438}
