(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(30)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(37)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(41)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(45)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(49)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(54)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(58)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(70)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(91)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(107)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(118)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(133)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(146)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(156)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(157)), {C=0.000611695620259359, S=0.00048633401420095323}
