(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(10)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(17)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(21)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(42)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(46)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(53)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(54)), {C=0.001366120218579235, S=0.001069934831242097}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(72)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(73)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(78)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(86)), {C=0.0011177347242921013, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(95)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(96)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(103)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(132)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(143)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(161)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(165)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(168)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(172)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(177)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(186)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(187)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(191)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(196)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(210)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(223)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(227)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(229)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(230)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(252)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(263)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0012419274714356682, S=0.0009726680284019065}
