(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(170)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(258)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(290)), {C=0.0007757092198581561, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(485)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(726)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(800)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(950)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(991)), {C=0.0006648936170212766, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(1066)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(1282)), {C=0.0006648936170212766, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(1360)), {C=0.0005540780141843972, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.0006648936170212766, S=0.0005836008170411438}
