(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(204)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(231)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(292)), {C=0.0006985679357317498, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(454)), {C=0.0006985679357317498, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(553)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(632)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(644)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(660)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(681)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(838)), {C=0.0006985679357317498, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(873)), {C=0.0008149959250203748, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(960)), {C=0.0006985679357317498, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(978)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(1063)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(1150)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(1176)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(1213)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(1220)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(1377)), {C=0.0005821399464431249, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(education(High School Degree))(marital_status(M)) --> (buy(1483)), {C=0.0005821399464431249, S=0.00048633401420095323}
