(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(11)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(12)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(90)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(112)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(126)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(138)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(139)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(143)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(162)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(163)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(193)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(195)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(205)), {C=0.0005783689994216311, S=0.00048633401420095323}
