(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(3)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(70)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(75)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(90)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(131)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(133)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(158)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(174)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(195)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(260)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(263)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(282)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(360)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(362)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(368)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(410)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(447)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(475)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(492)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(529)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(564)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(575)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(576)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(604)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(609)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(626)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(642)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(684)), {C=0.0009422533315385649, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(726)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(744)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(797)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(825)), {C=0.0009422533315385649, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(858)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(882)), {C=0.0009422533315385649, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(896)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(908)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(917)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(924)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(951)), {C=0.0008076457127473415, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(980)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1014)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1160)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1179)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1207)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1246)), {C=0.0006730380939561179, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1275)), {C=0.0006730380939561179, S=0.00048633401420095323}
