(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(29)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(384)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(443)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(620)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(710)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(712)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(855)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(882)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(885)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(900)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(997)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1037)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1039)), {C=0.0006302521008403361, S=0.0005836008170411438}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1050)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1187)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1193)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1378)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1396)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1452)), {C=0.0005252100840336134, S=0.00048633401420095323}
(gender(Male))(yearly_salary($70K - $90K))(member card(Bronze))(house_owner(Y)) --> (buy(1487)), {C=0.0005252100840336134, S=0.00048633401420095323}
