(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(27)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(30)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(36)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(42)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(50)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(66)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(70)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(95)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(96)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(98)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(118)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(139)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(169)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(192)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(203)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(213)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(244)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(268)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(280)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(297)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(303)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(312)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(318)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(338)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(349)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(350)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(360)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(361)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(375)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(387)), {C=0.0006286145335680162, S=0.00048633401420095323}
