(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(14)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(22)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(23)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(29)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(65)), {C=0.0006953297021671109, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(102)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(225)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(231)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(232)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(242)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(250)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(258)), {C=0.0006953297021671109, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(290)), {C=0.0008112179858616293, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(328)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(339)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(420)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(422)), {C=0.0009271062695561479, S=0.0007781344227215252}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(428)), {C=0.0008112179858616293, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(562)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(577)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(584)), {C=0.0006953297021671109, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(644)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(718)), {C=0.0006953297021671109, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(726)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(917)), {C=0.0006953297021671109, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(950)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(972)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(991)), {C=0.0008112179858616293, S=0.0006808676198813345}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(995)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1048)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1066)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1095)), {C=0.0006953297021671109, S=0.0005836008170411438}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1121)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1261)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1282)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1360)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1377)), {C=0.0005794414184725924, S=0.00048633401420095323}
(yearly_salary($130K - $150K))(member card(Bronze))(house_owner(Y)) --> (buy(1396)), {C=0.0006953297021671109, S=0.0005836008170411438}
