(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(2)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(6)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(7)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(8)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(10)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(11)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(12)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(13)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(14)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(16)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(19)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(20)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(22)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(23)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(24)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(25)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(26)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(28)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(29)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(30)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(31)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(33)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(34)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(36)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(37)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(38)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(42)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(43)), {C=0.0019228128004394997, S=0.001361735239762669}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(44)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(46)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(47)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(50)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(51)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(53)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(54)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(57)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(61)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(64)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(65)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(69)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(70)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(71)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(72)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(73)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(75)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(76)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(78)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(79)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(80)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(81)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(82)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(84)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(85)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(86)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(87)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(89)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(90)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(91)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(93)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(95)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(96)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(97)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(99)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(100)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(102)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(103)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(106)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(108)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(112)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(114)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(116)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(117)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(118)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(119)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(120)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(121)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(122)), {C=0.0010987501716797144, S=0.0007781344227215252}
