(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(4)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(6)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(7)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(9)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(11)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(17)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(20)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(21)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(26)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(27)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(30)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(31)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(32)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(34)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(35)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(37)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(39)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(41)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(42)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(43)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(45)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(48)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(51)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(53)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(57)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(58)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(59)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(65)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(70)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(75)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(76)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(77)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(83)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(86)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(88)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(89)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(90)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(94)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(95)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(97)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(100)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(101)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(102)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(103)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(104)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(107)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(109)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(111)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(112)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(115)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(116)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(117)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(122)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(126)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(127)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(131)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(132)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(136)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(137)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(138)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(139)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(142)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(145)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(146)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(148)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(152)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(153)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(154)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(155)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(160)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(161)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(162)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(164)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(170)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(175)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(176)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(177)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(180)), {C=0.000819672131147541, S=0.0007781344227215252}
