(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(19)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(28)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(29)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(30)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(33)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(34)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(37)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(39)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(41)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(43)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(45)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(49)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(53)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(54)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(58)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(60)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(79)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(80)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(82)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(86)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(87)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(89)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(90)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(91)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(96)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(103)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(104)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(107)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(109)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(111)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(118)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(123)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(124)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(133)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(134)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(142)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(146)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(149)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(154)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(157)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(162)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(172)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(174)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(176)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(179)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(181)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(184)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(190)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(191)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(195)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(198)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(199)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(200)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(206)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(214)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(219)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(220)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(223)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(225)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(228)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(231)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(234)), {C=0.0005149330587023688, S=0.00048633401420095323}
