(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(16)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(18)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(153)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(275)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(305)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(307)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(337)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(374)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(407)), {C=0.0006233766233766234, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(417)), {C=0.0006233766233766234, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(429)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(512)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(645)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(659)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(660)), {C=0.0006233766233766234, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(710)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(868)), {C=0.0007272727272727272, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(909)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(915)), {C=0.0006233766233766234, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(916)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(969)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1154)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1164)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1190)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1260)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1335)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1337)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1399)), {C=0.0005194805194805195, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College))(marital_status(M)) --> (buy(1423)), {C=0.0005194805194805195, S=0.00048633401420095323}
