(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(4)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(5)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(8)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(13)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(16)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(17)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(18)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(19)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(20)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(24)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(27)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(36)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(38)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(39)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(40)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(43)), {C=0.0005107252298263534, S=0.00048633401420095323}
