(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(14)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(22)), {C=0.0006259780907668231, S=0.0005836008170411438}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(42)), {C=0.0006259780907668231, S=0.0005836008170411438}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(168)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(225)), {C=0.0006259780907668231, S=0.0005836008170411438}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(258)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(290)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(328)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(407)), {C=0.0006259780907668231, S=0.0005836008170411438}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(420)), {C=0.0006259780907668231, S=0.0005836008170411438}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(726)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(748)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(798)), {C=0.0006259780907668231, S=0.0005836008170411438}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(933)), {C=0.0006259780907668231, S=0.0005836008170411438}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(950)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(991)), {C=0.0007303077725612936, S=0.0006808676198813345}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(1066)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(1134)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(1282)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(1320)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(1360)), {C=0.0005216484089723526, S=0.00048633401420095323}
(country(USA))(yearly_salary($130K - $150K))(member card(Bronze))(marital_status(S)) --> (buy(1443)), {C=0.0007303077725612936, S=0.0006808676198813345}
