(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(7)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(12)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(15)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(17)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(21)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(30)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(41)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(42)), {C=0.0009350163627863488, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(53)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(55)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(59)), {C=0.0009350163627863488, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(66)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(82)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(86)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(91)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(96)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(103)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(104)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(108)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(112)), {C=0.0008181393174380551, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(120)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(130)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(142)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(145)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(149)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(157)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(162)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(168)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(179)), {C=0.0010518934081346423, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(181)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(182)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(183)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(198)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(202)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(215)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(221)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(223)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(226)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(228)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(230)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(236)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(261)), {C=0.0008181393174380551, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(265)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(268)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(269)), {C=0.0008181393174380551, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(270)), {C=0.0008181393174380551, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(271)), {C=0.0010518934081346423, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(284)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(286)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(287)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(292)), {C=0.0008181393174380551, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(293)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(298)), {C=0.0008181393174380551, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(322)), {C=0.0007012622720897616, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(334)), {C=0.000584385226741468, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(338)), {C=0.0008181393174380551, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(340)), {C=0.0010518934081346423, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Bachelors Degree)) --> (buy(343)), {C=0.000584385226741468, S=0.00048633401420095323}
