(buy(109)) --> (buy(82)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(132)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(149)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(169)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(199)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(250)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(299)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(379)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(413)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(418)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(421)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(442)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(575)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(718)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(892)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(947)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(1055)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(1224)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(109)) --> (buy(1351)), {C=0.10526315789473682, S=0.0005836008170411438}
