(buy(849)) --> (buy(138)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(206)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(306)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(344)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(404)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(439)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(645)), {C=0.09999999999999999, S=0.0006808676198813345}
(buy(849)) --> (buy(733)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(872)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(882)), {C=0.08571428571428572, S=0.0005836008170411438}
(buy(849)) --> (buy(932)), {C=0.08571428571428572, S=0.0005836008170411438}
(buy(849)) --> (buy(977)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(995)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(999)), {C=0.09999999999999999, S=0.0006808676198813345}
(buy(849)) --> (buy(1044)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(1066)), {C=0.08571428571428572, S=0.0005836008170411438}
(buy(849)) --> (buy(1249)), {C=0.08571428571428572, S=0.0005836008170411438}
(buy(849)) --> (buy(1265)), {C=0.08571428571428572, S=0.0005836008170411438}
(buy(849)) --> (buy(1332)), {C=0.08571428571428572, S=0.0005836008170411438}
(buy(849)) --> (buy(1376)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(1378)), {C=0.07142857142857144, S=0.00048633401420095323}
(buy(849)) --> (buy(1392)), {C=0.08571428571428572, S=0.0005836008170411438}
(buy(849)) --> (buy(1495)), {C=0.07142857142857144, S=0.00048633401420095323}
