(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(12)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(17)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(18)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(24)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(25)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(26)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(29)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(36)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(41)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(47)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(54)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(59)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(62)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(63)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(65)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(69)), {C=0.0005433601391001957, S=0.00048633401420095323}
