(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(11)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(14)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(22)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(37)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(43)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(47)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(50)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(51)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(61)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(66)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(90)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(97)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(106)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(110)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(116)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(117)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(120)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(128)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(171)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(187)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(191)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(202)), {C=0.0005107774032076821, S=0.00048633401420095323}
