(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(13)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(36)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(38)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(39)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(43)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(52)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(67)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(74)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(82)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(83)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(107)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(108)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(130)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(146)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(152)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(153)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(155)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(158)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(170)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(181)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(185)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(192)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(194)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(198)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(201)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(202)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(204)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(205)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(216)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(217)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(221)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(227)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(228)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(229)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(231)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(238)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(243)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(246)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(258)), {C=0.0008107834194790717, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(262)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(279)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(281)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(289)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(292)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(293)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(296)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(302)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(307)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(310)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(328)), {C=0.0008107834194790717, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(334)), {C=0.0008107834194790717, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(335)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(351)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(357)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(359)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(361)), {C=0.0008107834194790717, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(372)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(381)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(390)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(391)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(394)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(414)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(415)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(424)), {C=0.0008107834194790717, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(426)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(428)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(430)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(441)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(447)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(449)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(454)), {C=0.0009121313469139557, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(456)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(457)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(459)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(460)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(463)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(477)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(478)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(483)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(485)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(486)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(489)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(490)), {C=0.0008107834194790717, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(496)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(517)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(518)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(525)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(535)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(541)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(546)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(547)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(549)), {C=0.0009121313469139557, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(551)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(559)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(565)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(568)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(569)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(575)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(576)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(577)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(578)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(580)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(585)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(593)), {C=0.0005067396371744199, S=0.00048633401420095323}
