(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(307)), {C=0.0008902737591809482, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(333)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(443)), {C=0.000667705319385711, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(483)), {C=0.0007789895392833295, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(778)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1005)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1063)), {C=0.000667705319385711, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1309)), {C=0.0007789895392833295, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(307)), {C=0.0008902737591809482, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(333)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(443)), {C=0.000667705319385711, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(483)), {C=0.0007789895392833295, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(778)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1005)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1063)), {C=0.000667705319385711, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1309)), {C=0.0007789895392833295, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(307)), {C=0.0008902737591809482, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(333)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(443)), {C=0.000667705319385711, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(483)), {C=0.0007789895392833295, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(778)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1005)), {C=0.0005564210994880925, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1063)), {C=0.000667705319385711, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(1309)), {C=0.0007789895392833295, S=0.0006808676198813345}
