(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(4)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(6)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(11)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(13)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(18)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(19)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(25)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(26)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(28)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(29)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(35)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(36)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(41)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(46)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(48)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(50)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(57)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(58)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(59)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(61)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(62)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(67)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(71)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(75)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(76)), {C=0.0009204336265084885, S=0.0008754012255617158}
