(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(11)), {C=0.0010225994477962982, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(12)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(13)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(17)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(21)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(22)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(24)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(25)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(27)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(28)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(30)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(34)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(37)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(39)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(41)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(46)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(47)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(48)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(50)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(51)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(60)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(61)), {C=0.0007158196134574086, S=0.0006808676198813345}
